number,title,body,,created_at,closed_at,state,,Short description,Description,Work notes,Resolution notes,closed_at,state,title
1,RobotShop call rate is too high - RobotShop call rate stays at a high level for an extended period of time,"RobotShop call rate is too high - RobotShop call rate stays at a high level for an extended period of timeRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,4/27/23 20:47,4/30/23 4:24,closed,,RobotShop call rate is too high - RobotShop call rate stays at a high level for an extended period of time,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",4/30/23 4:24,closed,
2,RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connectionRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,4/28/23 20:47,5/1/23 4:24,closed,,RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/1/23 4:24,closed,
3,Sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connectionRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/9/23 20:47,5/12/23 4:24,closed,,Sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/12/23 4:24,closed,
4,RobotShop call rate is too high - RobotShop call rate stays at a high level for an extended period of time,"RobotShop call rate is too high - RobotShop call rate stays at a high level for an extended period of timeRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,4/27/23 20:47,4/30/23 4:24,closed,,RobotShop call rate is too high - RobotShop call rate stays at a high level for an extended period of time,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",4/30/23 4:24,closed,
5,RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connectionRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,4/28/23 20:47,5/1/23 4:24,closed,,RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/1/23 4:24,closed,
6,Sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connectionRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/9/23 20:47,5/12/23 4:24,closed,,Sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/12/23 4:24,closed,
7,RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connectionRatings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/11/23 20:47,5/14/23 4:24,closed,,RobotShop sudden increase in the number of erroneous calls - This can be a sign of a problem on one side of the connection,"Ratings are not displayed anymore after a GIT Commit by DEV.
Predictive Insights indicates an anomaly with MySQL memory peak usage. 
Could be memory leak or a code change in the GIT Commit?.","__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/14/23 4:24,closed,
8,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory LimitsCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/15/23 20:47,5/18/23 4:24,closed,,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/18/23 4:24,closed,
9,MySQL - change detected - The value **resources/limits** has changed,"MySQL - change detected - The value **resources/limits** has changedCommit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",,5/16/23 20:47,5/19/23 4:24,closed,,MySQL - change detected - The value **resources/limits** has changed,Commit in repository robot-shop by Niklaus Hirt on file robot-shop.yaml - New Memory Limits,"__ Checked GIT Commit - a massive reduction in innodb_buffer_pool_size has been commited by DEV on the /etc/my.cnf file
_ Check with DEV to adapt GIT Commit","_ Cause: GIT Commit set the MySQL innodb_buffer_pool_size too low
      - MySQL Database is restarting/killed with OutOfMemory status. 
      - Ratings Pod is unable to access database. 
      - After correction, ratings Pod is unable to pick up the restart and has to be restarted as well. 

_ Resolved by adapting MySQL innodb_buffer_pool_size and restarting ratings pods.
__ Runbook:
      Increase innodb_buffer_pool_size for mysql - check with DEV to correct GIT Commit
      oc delete pod -n robot-shop $(oc get po -n robot-shop|grep ratings|awk '{print$1}'",5/19/23 4:24,closed,
